time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-01-18 00:00:00,34.0,20.0,44.0,0.0,,160.0,13.0,,1006.0,,2.0
2025-01-18 01:00:00,33.0,19.8,46.0,0.0,,140.0,11.0,,1006.0,,2.0
2025-01-18 02:00:00,32.0,20.0,49.0,0.0,,140.0,15.0,,1007.0,,1.0
2025-01-18 03:00:00,30.0,20.0,55.0,0.0,,130.0,9.0,,1007.0,,1.0
2025-01-18 04:00:00,30.0,20.0,55.0,0.0,,110.0,9.0,,1007.0,,1.0
2025-01-18 05:00:00,29.0,21.0,62.0,0.0,,120.0,7.0,,1007.0,,1.0
2025-01-18 06:00:00,29.0,21.0,62.0,0.0,,120.0,9.0,,1007.0,,1.0
2025-01-18 07:00:00,28.0,21.1,66.0,0.0,,105.0,4.0,,1007.0,,1.0
2025-01-18 08:00:00,27.0,22.0,74.0,0.0,,88.0,3.7,,1007.0,,1.0
2025-01-18 09:00:00,27.0,22.0,74.0,0.0,,130.0,6.0,,1008.0,,1.0
2025-01-18 10:00:00,28.0,22.0,70.0,0.0,,110.0,6.0,,1008.0,,2.0
2025-01-18 11:00:00,31.0,22.1,59.0,0.0,,90.0,9.0,,1009.0,,2.0
2025-01-18 12:00:00,34.0,22.1,50.0,0.0,,40.0,11.0,,1010.0,,2.0
2025-01-18 13:00:00,35.0,22.0,47.0,0.0,,50.0,11.0,,1010.0,,2.0
2025-01-18 14:00:00,36.0,21.1,42.0,0.0,,26.0,9.0,,1009.0,,2.0
2025-01-18 15:00:00,38.0,21.2,38.0,0.0,,17.0,9.0,,1009.0,,2.0
2025-01-18 16:00:00,40.0,20.2,32.0,0.0,,300.0,11.0,,1008.0,,2.0
2025-01-18 17:00:00,40.0,18.0,28.0,0.0,,280.0,9.0,,1007.0,,2.0
2025-01-18 18:00:00,41.0,17.1,25.0,0.0,,260.0,11.0,,1006.0,,2.0
2025-01-18 19:00:00,42.0,15.9,22.0,0.0,,160.0,11.0,,1006.0,,2.0
2025-01-18 20:00:00,41.0,18.9,28.0,0.0,,175.0,13.0,,1004.0,,2.0
2025-01-18 21:00:00,39.0,18.8,31.0,0.0,,130.0,11.0,,1004.0,,2.0
2025-01-18 22:00:00,37.0,19.0,35.0,0.0,,120.0,19.0,,1005.0,,2.0
2025-01-18 23:00:00,35.0,19.0,39.0,0.0,,140.0,11.0,,1005.0,,2.0
2025-01-19 00:00:00,33.0,19.1,44.0,0.0,,140.0,11.0,,1006.0,,2.0
2025-01-19 01:00:00,32.0,17.9,43.0,0.0,,150.0,7.0,,1008.0,,2.0
